127.0.0.1 - - [19/Aug/2025:09:47:50 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:47:51 +0900] "GET /task/select.jsp HTTP/1.1" 500 2645
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:47:51 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:48:07 +0900] "GET /task/insert.jsp HTTP/1.1" 200 3696
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:48:07 +0900] "GET /task/check.js HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:48:07 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:48:10 +0900] "GET /task/select.jsp HTTP/1.1" 500 2645
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:49:22 +0900] "GET /task/select.jsp HTTP/1.1" 200 4159
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:49:26 +0900] "GET /task/insert.jsp HTTP/1.1" 200 3696
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:49:26 +0900] "GET /task/select.jsp HTTP/1.1" 200 4159
0:0:0:0:0:0:0:1 - - [19/Aug/2025:09:49:27 +0900] "GET /task/insert.jsp HTTP/1.1" 200 3696
